distributor_code,distributor_name,account_profile_class,report_month,commission_owed,amount_paid,amount_unpaid,payment_rate,payment_status,payment_channel,payment_date,exception_flag,data_source
213044,S. Mobile Netzone Ltd,CONNECT STORES,202602,307835.93,277052.34,30783.59,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19647,Bexel Worldwide Company Ltd,CONNECT STORES,202602,299737.37,269763.63,29973.74,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19618,Phone Index Ltd,CONNECT STORES,202602,293932.8,264539.52,29393.28,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
98048,Ug Systems Ltd,FIXED BROADBAND,202602,287161.9599999999,258445.76,28716.2,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19594,Odl Telecommunications Ltd,CONNECT STORES,202602,285030.5099999999,256527.46,28503.05,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19664,Kashmir Global And Communications Ltd,DATA PARTNERS,202602,281151.07999999996,253035.97,28115.11,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19761,Equinox Intergrated Concept Ltd,DATA PARTNERS,202602,271847.24999999994,244662.52,27184.73,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
357063,Vastlead Ltd,FIXED BROADBAND,202602,269424.44999999995,242482.0,26942.45,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19562,Unbeatable Communications Ltd,DATA PARTNERS,202602,253785.63999999993,228407.08,25378.56,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19932,Dickson Telecoms Ltd,CONNECT STORES,202602,252072.39999999997,226865.16,25207.24,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19478,Samanny Infotech Services Ltd,CONNECT STORES,202602,251006.08999999994,225905.48,25100.61,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
79043,Daron Industries International Ltd,FIXED BROADBAND,202602,242695.53000000003,218425.98,24269.55,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
90031,Ori Communications Ltd,FIXED BROADBAND,202602,242115.01999999996,217903.52,24211.5,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19818,Ephybrand Connect Ltd,CONNECT STORES,202602,239977.44,215979.7,23997.74,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19367,Moonwalker Connect Ltd,CONNECT STORES,202602,238358.92999999996,214523.04,23835.89,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
409091,Tivos Technology Ltd,PENTAGON FRANCHISE,202602,237766.7799999999,95106.71,142660.07,0.4,DISPUTED,BANK_TRANSFER,,CONFIRMED_MISMATCH,SIMULATED
19343,Pyramid Energy Ltd,CONNECT STORES,202602,237471.44999999995,213724.3,23747.15,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19808,Bailord Ltd,DATA PARTNERS,202602,233754.28,210378.85,23375.43,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
311069,Kashmir Global And Communications Ltd,FIXED BROADBAND,202602,225532.78000000003,202979.5,22553.28,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19523,Richson Networks Ltd,DATA PARTNERS,202602,218879.44999999995,196991.5,21887.95,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19513,Jocose Ltd,DATA PARTNERS,202602,218578.41,196720.57,21857.84,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
255075,Kajik Joined Services Ltd,FIXED BROADBAND,202602,216418.04999999996,194776.24,21641.81,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19554,Tunnet Ventures Ltd,DATA PARTNERS,202602,210775.47999999998,189697.93,21077.55,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19531,Salcom Integrated Services Ltd,CONNECT STORES,202602,209106.78999999998,188196.11,20910.68,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
21259,Multimesh Technology Ltd,CONNECT STORES,202602,207850.96,187065.86,20785.1,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19335,Castlat Telecommunications Ltd,CONNECT STORES,202602,205026.81999999998,184524.14,20502.68,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19649,Bexel Worldwide Company Ltd,CONNECT STORES,202602,204027.78,183625.0,20402.78,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19839,Data Clinic Nigeria Ltd,CONNECT STORES,202602,201259.38999999998,181133.45,20125.94,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
294071,Gadeen Plus Communication Ltd,FIXED BROADBAND,202602,195605.39999999997,176044.86,19560.54,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
290074,Deeray Global Communications Ltd,FIXED BROADBAND,202602,192507.51999999996,173256.77,19250.75,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19372,Moonwalker Connect Ltd,CONNECT STORES,202602,191419.37999999998,172277.44,19141.94,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19903,First March Communications Intl Ltd,CONNECT STORES,202602,189376.52999999997,170438.88,18937.65,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
21276,Nestobar Nigeria Ltd,ENTERPRISE BUSINESS,202602,188064.85,169258.37,18806.48,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19688,Charleson Industrial Supplies Ltd,CONNECT STORES,202602,186027.75,167424.98,18602.77,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19698,Circle Star Communication Ltd,DATA PARTNERS,202602,185859.95999999996,167273.96,18586.0,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19555,Turab Services Integrated Ltd,CONNECT STORES,202602,179804.53,107882.72,71921.81,0.6,PARTIALLY_PAID,MTN_INTERNAL_SETTLEMENT,2026-03-30,HIGH_UNQUALIFIED_RATE,SIMULATED
19958,Glory Technology Ltd,CONNECT STORES,202602,178956.26999999996,161060.64,17895.63,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19643,Pure Silver Communications Ltd,CONNECT STORES,202602,176919.01000000007,159227.11,17691.9,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
121038,CCA Links Ltd,FIXED BROADBAND,202602,176075.81999999995,158468.24,17607.58,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19632,Premium First Yisab Nigeria Ltd,CONNECT STORES,202602,173575.68,156218.11,17357.57,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19628,Premium First Yisab Nigeria Ltd,CONNECT STORES,202602,173519.75,69407.9,104111.85,0.4,DISPUTED,MTN_INTERNAL_SETTLEMENT,,CONFIRMED_MISMATCH,SIMULATED
255073,Zoom Communication Ltd,ENTERPRISE BUSINESS,202602,172152.15999999997,154936.94,17215.22,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
21258,Multimesh Technology Ltd,CONNECT STORES,202602,169914.34,152922.91,16991.43,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
78073,Aerizo Network Ltd,FIXED BROADBAND,202602,167078.75999999998,150370.88,16707.88,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
250047,S.Mobile Communication base Ltd,FIXED BROADBAND,202602,162105.62,145895.06,16210.56,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19549,Tripple Og And P Comm Ltd,CONNECT STORES,202602,157082.41999999998,141374.18,15708.24,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
336060,C and C Mega Communication Services Ltd,FIXED BROADBAND,202602,151021.25999999998,135919.13,15102.13,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19511,Jaiz Communications Nigeria Ltd,DATA PARTNERS,202602,150971.08000000002,135873.97,15097.11,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
78075,Consumer Links Ltd,FIXED BROADBAND,202602,150596.92,135537.23,15059.69,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19615,Peace Tidings Ventures Ltd,DATA PARTNERS,202602,149022.85999999996,134120.57,14902.29,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
353061,Precious Nigeria Ltd,FIXED BROADBAND,202602,147767.09,132990.38,14776.71,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19915,Goslash Nigeria Ltd,DATA PARTNERS,202602,146779.35,132101.42,14677.93,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
54253,Carlcon Global Resources Ltd,DATA PARTNERS,202602,145573.66,131016.29,14557.37,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
74051,Almond Seal Nig Ltd,FIXED BROADBAND,202602,145361.62,130825.46,14536.16,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
74054,Imbil Telecom Solutions Nig Ltd,FIXED BROADBAND,202602,138245.27,124420.74,13824.53,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
97095,J5 World Ventures Ltd,FIXED BROADBAND,202602,135733.66999999998,122160.3,13573.37,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
20047,Demmy Global Resources Ltd,CONNECT STORES,202602,134851.96,121366.76,13485.2,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19816,Ephybrand Connect Ltd,CONNECT STORES,202602,134745.99,121271.39,13474.6,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19420,Movingstar Communications Ltd,DATA PARTNERS,202602,132334.61,119101.15,13233.46,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
265054,Olumajek IT Continental Ltd,FIXED BROADBAND,202602,131704.04,118533.64,13170.4,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19582,Maryabik Global Services Ltd,CONNECT STORES,202602,131503.16,118352.84,13150.32,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19969,Sapphire Virtual Networks Ltd,DATA PARTNERS,202602,130185.72999999998,117167.16,13018.57,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19505,Tc Topaz Nigeria Ltd,DATA PARTNERS,202602,129197.98999999999,116278.19,12919.8,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
351061,Barcutt Investment Ltd,CONNECT HUB,202602,128204.63999999998,115384.18,12820.46,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19577,Maryabik Global Services Ltd,CONNECT STORES,202602,128048.20999999999,115243.39,12804.82,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
214045,Merit Logistic Mobile Communication Ltd,FIXED BROADBAND,202602,124118.83999999997,111706.96,12411.88,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
215043,Uchmanody Nig Ltd,FIXED BROADBAND,202602,124118.79999999997,111706.92,12411.88,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19957,Glory Technology Ltd,CONNECT STORES,202602,117320.78000000001,105588.7,11732.08,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
337088,Dispro Nigeria Ltd,PENTAGON FRANCHISE,202602,117208.93999999997,46883.58,70325.36,0.4,DISPUTED,BANK_TRANSFER,,CONFIRMED_MISMATCH,SIMULATED
19583,Maryabik Global Services Ltd,CONNECT STORES,202602,114759.0,103283.1,11475.9,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19781,Alennsar Infinity Company Nig Ltd,DEALER,202602,114340.39,68604.23,45736.16,0.6,PARTIALLY_PAID,BANK_TRANSFER,2026-03-30,HIGH_UNQUALIFIED_RATE,SIMULATED
19415,Take - Off Travels And Tours Nigeria Ltd,DATA PARTNERS,202602,113966.30999999997,102569.68,11396.63,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
78074,Lifthum Global Company Ltd,FIXED BROADBAND,202602,113441.60999999997,102097.45,11344.16,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19437,Iq Technologies Ltd,CONNECT STORES,202602,113134.81999999999,101821.34,11313.48,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
83033,Abukhairat Communication Ltd,FIXED BROADBAND,202602,112185.73999999996,100967.17,11218.57,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19366,Moonwalker Connect Ltd,CONNECT STORES,202602,110991.56999999999,99892.41,11099.16,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
239048,Aua-Technologies Ltd,FIXED BROADBAND,202602,107949.51999999999,97154.57,10794.95,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
379100,Tivos Technology Ltd,FIXED BROADBAND,202602,107637.03999999998,96873.34,10763.7,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19922,Grand Towers Communications Ltd,CONNECT STORES,202602,106805.53,64083.32,42722.21,0.6,PARTIALLY_PAID,MTN_INTERNAL_SETTLEMENT,2026-03-30,HIGH_UNQUALIFIED_RATE,SIMULATED
130062,Tov Connect Ltd,ENTERPRISE BUSINESS,202602,106012.77999999997,95411.5,10601.28,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19817,Ephybrand Connect Ltd,CONNECT STORES,202602,105806.30999999997,95225.68,10580.63,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
223046,Lyte Global Projects Ltd,FIXED BROADBAND,202602,103813.65999999997,93432.29,10381.37,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19571,Maple Telecomms Ltd,CONNECT STORES,202602,99839.99999999999,89856.0,9984.0,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
68028,Xii Energy and Resources Ltd,ENTERPRISE BUSINESS,202602,98896.56999999998,89006.91,9889.66,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19596,Odl Telecommunications Ltd,CONNECT STORES,202602,98427.90000000001,88585.11,9842.79,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19355,Mec- Hall Ltd,CONNECT STORES,202602,97903.07999999997,88112.77,9790.31,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
74052,Thrixes Technologies Ltd,FIXED BROADBAND,202602,96803.49999999997,87123.15,9680.35,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19896,Fantel Technologies Ltd,CONNECT STORES,202602,95285.46999999999,85756.92,9528.55,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19501,Nother Global Ltd,DATA PARTNERS,202602,94816.57999999999,85334.92,9481.66,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19570,Maple Telecomms Ltd,CONNECT STORES,202602,94347.84999999999,84913.06,9434.79,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19580,Maryabik Global Services Ltd,CONNECT STORES,202602,93929.23999999999,84536.32,9392.92,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19448,V-Lite Solutions Ltd,DATA PARTNERS,202602,93823.15,37529.26,56293.89,0.4,DISPUTED,BANK_TRANSFER,,CONFIRMED_MISMATCH,SIMULATED
206055,Betawa Global Resources Ltd,CONNECT STORES,202602,93823.06999999998,84440.76,9382.31,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
249048,Hanoon Investment Nig Ltd,FIXED BROADBAND,202602,93192.39999999998,83873.16,9319.24,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
275053,Global Phonelinz Systems Ltd,ENTERPRISE BUSINESS,202602,92673.37,83406.03,9267.34,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
295085,Chicago Technology Services Nig Ltd,FIXED BROADBAND,202602,92092.77999999998,82883.5,9209.28,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19812,Bash Wakil Communication Investment Nigeria Ltd,DATA PARTNERS,202602,91467.73999999998,82320.97,9146.77,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19951,Gladsam Ventures Nigeria Ltd,DATA PARTNERS,202602,89843.47999999998,80859.13,8984.35,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
395095,Cura Communications Services Ltd,CONNECT HUB,202602,89637.12999999998,80673.42,8963.71,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
153031,Premium First Yisab Nigeria Ltd,CONNECT HUB,202602,88749.74999999999,79874.77,8874.98,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
20018,Pasdavis Integrated Ventures Ltd,DATA PARTNERS,202602,88169.09999999998,79352.19,8816.91,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
341065,Auwa Ventures Ltd,PENTAGON FRANCHISE,202602,87906.69999999998,79116.03,8790.67,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
95039,Alyusrah Investment Nigeria Ltd,FIXED BROADBAND,202602,87594.19999999998,78834.78,8759.42,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
353073,Freva Global Ltd,ENTERPRISE BUSINESS,202602,86863.10999999999,78176.8,8686.31,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
107046,Ibi Communication Ltd,ENTERPRISE BUSINESS,202602,86288.23,77659.41,8628.82,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19345,Magron Communications Ltd,CONNECT STORES,202602,85506.94,76956.25,8550.69,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
60025,Almond Seal Nig Ltd,DATA PARTNERS,202602,84089.10999999999,75680.2,8408.91,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19880,Equal Connect Services Ltd,CONNECT STORES,202602,83151.56999999999,49890.94,33260.63,0.6,PARTIALLY_PAID,MTN_INTERNAL_SETTLEMENT,2026-03-30,HIGH_UNQUALIFIED_RATE,SIMULATED
291067,Omani Gallery Ltd,ENTERPRISE BUSINESS,202602,82464.90999999997,74218.42,8246.49,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
115057,Tshabron Ltd,CONNECT HUB,202602,81633.43999999999,73470.1,8163.34,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
367077,Zonak Crispen Projects Ltd,FIXED BROADBAND,202602,81315.16999999998,73183.65,8131.52,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
170045,Timjat Global Resources,DATA PARTNERS,202602,81158.95999999999,73043.06,8115.9,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
369075,3Chub Brand Management Ltd,FIXED BROADBAND,202602,80584.09999999998,72525.69,8058.41,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19327,Blue Pyramid Ltd,DATA PARTNERS,202602,78697.47999999998,70827.73,7869.75,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19648,Bexel Worldwide Company Ltd,CONNECT STORES,202602,77079.01,69371.11,7707.9,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19494,Nicanor Nigeria Ltd,DATA PARTNERS,202602,76972.95999999999,69275.66,7697.3,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19953,Global Phonelinz Systems Ltd,DATA PARTNERS,202602,76972.9,69275.61,7697.29,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19938,Dynamic Standard Business Services,DATA PARTNERS,202602,74930.08999999998,67437.08,7493.01,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19838,Data Clinic Nigeria Ltd,CONNECT STORES,202602,74673.44,67206.1,7467.34,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
365090,Alhamed-Ola Global Telecom Ltd,PENTAGON FRANCHISE,202602,74617.50999999998,67155.76,7461.75,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
93033,Okin Global Consult Ltd,FIXED BROADBAND,202602,73255.60999999999,65930.05,7325.56,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
255074,Lamer Comm Continental Ltd,ENTERPRISE BUSINESS,202602,73099.35999999999,65789.42,7309.94,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
83035,Excellobobo Nigeria Ltd,FIXED BROADBAND,202602,71581.22999999998,64423.11,7158.12,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19687,Charleson Industrial Supplies Ltd,CONNECT STORES,202602,71268.82999999999,64141.95,7126.88,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
148031,Barcutt Investment Ltd,CONNECT HUB,202602,71006.43,63905.79,7100.64,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
162043,Demmy Global Resources Ltd,CONNECT HUB,202602,70743.98999999999,63669.59,7074.4,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19462,Wolid International Services Ltd,DEALER,202602,70119.05,63107.15,7011.9,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19559,Ug Systems Ltd,DATA PARTNERS,202602,68863.18,61976.86,6886.32,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
366074,Galant Communications Ltd,PENTAGON FRANCHISE,202602,68812.99999999999,27525.2,41287.8,0.4,DISPUTED,BANK_TRANSFER,,CONFIRMED_MISMATCH,SIMULATED
19382,Saravcom Ltd,DATA PARTNERS,202602,68076.29999999999,61268.67,6807.63,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19952,Global Dammy Communication And It Services Ltd,DATA PARTNERS,202602,67919.93,61127.94,6791.99,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19809,Bajeiid Communications Ltd,DATA PARTNERS,202602,67294.80999999998,60565.33,6729.48,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
232044,Nastech and Associates Ltd,FIXED BROADBAND,202602,66820.31,60138.28,6682.03,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19805,Awake Interlink Nigeria Ltd,DEALER,202602,66664.15999999999,59997.74,6666.42,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
345064,El-Ruson Network Services Ltd,PENTAGON FRANCHISE,202602,66301.35999999999,59671.22,6630.14,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19746,Terraglobal Technologies Ltd,CONNECT STORES,202602,66195.25,59575.72,6619.53,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
332069,Pasdavis Integrated Ventures Ltd,FIXED BROADBAND,202602,65983.09,59384.78,6598.31,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
26033,Brymeder Concepts Ltd,DATA PARTNERS,202602,65408.289999999986,58867.46,6540.83,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19959,Glory Technology Ltd,CONNECT STORES,202602,64465.07999999999,58018.57,6446.51,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19516,Quick Choice Globar Resources,DATA PARTNERS,202602,63733.90999999999,57360.52,6373.39,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
107034,Kanka Multi-Services Ltd,ENTERPRISE BUSINESS,202602,63371.12999999999,57034.02,6337.11,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19556,Turab Services Integrated Ltd,CONNECT STORES,202602,62846.42999999999,37707.86,25138.57,0.6,PARTIALLY_PAID,MTN_INTERNAL_SETTLEMENT,2026-03-30,HIGH_UNQUALIFIED_RATE,SIMULATED
19669,Kristal Communications,CONNECT STORES,202602,62790.53999999999,56511.49,6279.05,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19605,Okolo Brothers Ltd,DATA PARTNERS,202602,62690.17999999999,56421.16,6269.02,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
113048,Emy-V Global Services Nigeria Ltd,CONNECT HUB,202602,61953.29999999998,55757.97,6195.33,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
360067,Rich Solar Technology Ltd,ENTERPRISE BUSINESS,202602,61746.869999999995,55572.18,6174.69,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
107036,Aua-Technologies Ltd,ENTERPRISE BUSINESS,202602,61640.819999999985,55476.74,6164.08,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
